
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 48.924 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Osbornodon_renjiei	33.529	32.523	
Osbornodon_scitulus	19.505	16.138	
Osbornodon_sesnoni	33.237	20.648	
Osbornodon_wangi	29.793	29.793	
Otarocyon_cooki	30.612	27.699	
Otarocyon_macdonaldi	33.343	33.329	
Otocyon	2.765	0.102	
Otocyon_megalotis	1.825	0.006	
Oxetocyon	31.815	31.535	
Oxetocyon_cuspidatus	33.182	30.87	
Paracynarctus_kelloggi	20.373	10.07	
Paracynarctus_sinclairi	19.08	14.878	
Paraenhydrocyon_josephi	29.429	21.977	
Paraenhydrocyon_robustus	23.108	21.7	
Paraenhydrocyon_wallovianus	23.934	20.444	
Paratomarctus_euthos	14.9	6.125	
Paratomarctus_temerarius	19.777	8.009	
Philotrox_condoni	30.613	22.547	
Phlaocyon	22.971	16.987	
Phlaocyon_achoros	24.024	24.024	
Phlaocyon_annectens	24.542	20.791	
Phlaocyon_latidens	30.887	25.686	
Phlaocyon_leucosteus	23.898	16.348	
Phlaocyon_mariae	19.741	19.741	
Phlaocyon_marslandensis	19.844	16.322	
Phlaocyon_minor	29.387	17.73	
Phlaocyon_multicuspus	22.216	22.216	
Phlaocyon_taylori	25.052	22.758	
Phlaocyon_yatkolai	20.376	20.376	
Protemnocyon_inflatus	33.742	33.742	
Protepicyon_raki	15.74	13.834	
Protocyon	2.479	0.019	
Protocyon_orcesi	0.09	0.09	
Protocyon_tarijensis	2.584	2.584	
Protocyon_troglodytes	2.224	0.021	
Protomarctus_optatus	22.013	9.643	
Psalidocyon_marianae	18.655	14.395	
Pseudalopex_gymnocercus	0.833	0.002	extant
Rhizocyon_oregonensis	27.313	23.602	
Speothos	1.32	1.32	
Speothos_venaticus	0.003	0.003	
Sunkahetanka_geringensis	30.712	22.573	
Tephrocyon_rurestris	15.411	5.45	
Theriodictis	2.051	0.021	
Theriodictis_floridanus	3.576	3.221	
Tomarctus	15.777	10.561	
Tomarctus_brevirostris	20.009	5.517	
Tomarctus_hippophaga	20.149	13.626	
Urocyon	12.189	0.03	
Urocyon_cinereoargenteus	3.705	0.005	
Urocyon_citrinus	4.192	4.192	
Urocyon_galushai	4.107	2.678	
Urocyon_minicephalus	1.407	1.296	
Urocyon_progressus	3.684	3.684	
Urocyon_webbi	8.423	8.423	
Vulpes	9.152	0.007	
Vulpes_cascadensis	0.113	0.113	
Vulpes_chama	2.588	0.002	
Vulpes_kernensis	11.429	11.429	
Vulpes_mathisoni	4.091	4.091	
Vulpes_stenognathus	14.261	1.627	
Vulpes_velox	3.692	0.013	
Vulpes_vulpes	2.976	0.001	
Vulpes_vulpes_macroura	0.12	0.12	
Vulpini	0.041	0.041	
Xenocyon	2.243	0.542	
Xenocyon_lycaonoides	2.187	0.182	
Xenocyon_texanus	1.457	1.457	
